company_id,financial_health_score,health_band
ABB,93.2,Strong
ABB,93.2,Strong
ABB,93.2,Strong
ABB,93.2,Strong
ADANIENSOL,55.7,Stable
ADANIENSOL,58.9,Stable
ADANIENT,47.3,Moderate
ADANIENT,46.5,Moderate
ADANIGREEN,48.7,Moderate
ADANIGREEN,48.0,Moderate
ADANIPORTS,79.0,Strong
ADANIPORTS,78.1,Strong
ADANIPORTS,79.0,Strong
ADANIPORTS,78.1,Strong
ADANIPOWER,87.6,Strong
ADANIPOWER,86.4,Strong
AMBUJACEM,64.8,Stable
AMBUJACEM,62.8,Stable
APOLLOHOSP,71.4,Stable
APOLLOHOSP,69.8,Stable
ASIANPAINT,91.1,Strong
ASIANPAINT,91.1,Strong
ASIANPAINT,91.1,Strong
ASIANPAINT,91.1,Strong
ATGL,57.3,Stable
ATGL,56.0,Stable
BAJAJ-AUTO,91.8,Strong
BAJAJ-AUTO,91.8,Strong
BAJAJ-AUTO,91.0,Strong
BAJAJ-AUTO,91.0,Strong
AXISBANK,50.8,Stable
BAJAJFINSV,56.9,Stable
BAJAJFINSV,55.1,Stable
BAJAJHLDNG,76.5,Strong
BAJAJHLDNG,75.7,Strong
BAJFINANCE,53.2,Stable
BAJFINANCE,51.7,Stable
BANKBARODA,48.8,Moderate
BHARTIARTL,57.5,Stable
BHARTIARTL,57.0,Stable
BEL,78.1,Strong
BEL,78.1,Strong
BHEL,33.1,Moderate
BHEL,33.1,Moderate
BOSCHLTD,86.6,Strong
BOSCHLTD,85.6,Strong
BPCL,83.2,Strong
BPCL,83.2,Strong
BRITANNIA,86.6,Strong
BRITANNIA,86.6,Strong
CANBK,75.5,Strong
CHOLAFIN,51.0,Stable
CHOLAFIN,49.9,Moderate
CIPLA,85.6,Strong
CIPLA,85.1,Strong
COALINDIA,93.2,Strong
COALINDIA,93.2,Strong
DABUR,83.7,Strong
DABUR,82.6,Strong
DIVISLAB,83.7,Strong
DIVISLAB,83.6,Strong
DLF,74.2,Stable
DLF,74.1,Stable
DMART,75.9,Strong
DMART,74.8,Stable
DRREDDY,88.6,Strong
DRREDDY,86.3,Strong
EICHERMOT,89.6,Strong
EICHERMOT,88.6,Strong
GAIL,74.0,Stable
GAIL,73.2,Stable
GODREJCP,53.1,Stable
GODREJCP,53.0,Stable
GRASIM,36.7,Moderate
GRASIM,36.0,Moderate
HAL,90.2,Strong
HAL,90.2,Strong
HAVELLS,79.9,Strong
HAVELLS,79.1,Strong
HCLTECH,89.2,Strong
HCLTECH,89.1,Strong
HDFCBANK,77.8,Strong
HDFCLIFE,62.5,Stable
HDFCLIFE,62.1,Stable
HEROMOTOCO,85.9,Strong
HEROMOTOCO,85.0,Strong
HINDALCO,73.3,Stable
HINDALCO,72.9,Stable
HINDUNILVR,88.6,Strong
HINDUNILVR,88.7,Strong
ICICIBANK,80.1,Strong
ICICIGI,81.4,Strong
ICICIGI,80.4,Strong
ICICIPRULI,57.4,Stable
ICICIPRULI,57.1,Stable
INDUSINDBK,50.0,Stable
INFY,91.8,Strong
INFY,91.8,Strong
IOC,79.7,Strong
IOC,79.2,Strong
IRCTC,93.2,Strong
IRCTC,93.2,Strong
IRFC,77.4,Strong
IRFC,77.1,Strong
ITC,96.2,Strong
ITC,96.2,Strong
JINDALSTEL,65.1,Stable
JINDALSTEL,64.2,Stable
JIOFIN,53.4,Stable
JIOFIN,53.4,Stable
JSWENERGY,52.6,Stable
JSWENERGY,51.0,Stable
JSWSTEEL,51.6,Stable
JSWSTEEL,51.1,Stable
KOTAKBANK,78.5,Strong
LICI,84.7,Strong
LICI,84.7,Strong
LODHA,63.0,Stable
LODHA,62.7,Stable
LT,86.8,Strong
LT,86.8,Strong
LTIM,88.4,Strong
LTIM,87.3,Strong
M&M,42.4,Moderate
M&M,41.4,Moderate
MARUTI,81.7,Strong
MARUTI,81.1,Strong
