kpi,n,P10,P25,P50,P75,P90,Mean,Std
ROE,90,8.361743764845407,11.612115350385197,16.27438209993858,26.083288417594787,48.39377808581729,125.06646223216319,640.6160511670571
ROCE,91,6.63,9.98,16.5,26.740000000000002,40.0,22.45923076923077,23.495773484265882
Net Profit Margin,90,4.603437169592351,7.217103304389918,14.118130335112678,20.37977373037694,29.33065205293237,20.118918114803307,45.682288086967056
Debt to Equity,90,0.00772277920602562,0.054761778806611164,0.4357953051600383,1.6178558202347761,6.460590070261603,1.6825424467634755,2.876066588103766
Free Cash Flow,90,-14847.199999999999,-1340.0,1068.5,8164.0,20818.10000000003,706.1666666666666,23312.33183823435
PAT CAGR 5yr,85,4.394462554045022,10.033231229420036,16.42972571572392,23.865063572879073,43.355268245583495,80.59343550753144,548.852162689681
Revenue CAGR 5yr,92,5.899633273673062,8.462029223288658,12.029339915118054,17.307475793424302,21.160185746219952,56.52936053651979,418.05995806381065
EPS CAGR 5yr,81,3.303780411393231,9.096607850144967,14.869835499703509,21.65851677781967,30.391879544001377,18.045930016366114,18.794358326656376
Interest Coverage,89,1.675095428878226,3.3055457435535147,11.361290955463998,58.331932773109244,193.59161904761908,128.8418229195742,491.08663596824937
Asset Turnover,90,0.07313499656780097,0.2086879019266913,0.6705257995027023,1.1362359251314187,1.663133526933345,3.5358591307334595,15.933446694739034
